Ro.	Base Line	SMOTE	ROS	VAE	GAN	VAE Fed	GAN Fed
1	0.88904	0.92911	0.93818	0.94369	0.93530	0.94376	0.93949
2	0.91214	0.93739	0.94232	0.94408	0.94953	0.94750	0.94714
3	0.91192	0.93376	0.94440	0.94694	0.95335	0.94734	0.94757
4	0.91433	0.93930	0.94255	0.94774	0.95496	0.94678	0.95334
5	0.91559	0.93981	0.94468	0.94783	0.95156	0.94540	0.95481
6	0.92206	0.94374	0.94682	0.94743	0.95422	0.94822	0.95711
7	0.91570	0.94429	0.94710	0.94838	0.95480	0.95563	0.95609
8	0.90717	0.94356	0.94939	0.94728	0.95753	0.95321	0.95930
9	0.91757	0.94199	0.95287	0.95388	0.95909	0.94747	0.95303
10	0.90977	0.94276	0.94963	0.95017	0.95174	0.95439	0.95176
